Institution,AR%,Location,Price$,SAT_Range
Union College - New York,37,"Schenectady, NY ","37,080",1220-1400
University of Delaware,63,"Newark, DE ","16,286",1130-1330
Iowa State University,89,"Ames, IA ","13,949",1160-1410
Lawrence University,61,"Appleton, WI ","28,180",1220-1460
American University,29,"Washington, DC ","32,732",1180-1350
Texas Christian University,41,"Fort Worth, TX ","35,363",1130-1330
Syracuse University,47,"Syracuse, NY ","35,306",1160-1350
Rutgers University - New Brunswick,58,"Piscataway, NJ ","16,016",1190-1400
Franklin & Marshall College,34,"Lancaster, PA ","24,472",1200-1420
University of Massachusetts - Amherst,58,"Amherst, MA ","21,281",1180-1360
Wabash College,63,"Crawfordsville, IN ","24,603",1070-1280
Denison University,37,"Granville, OH ","32,290",1200-1380
Gustavus Adolphus College,68,"Saint Peter, MN ","29,894",1080-1340
Bentley University,44,"Waltham, MA ","36,613",1210-1380
Auburn University,84,"Auburn, AL ","22,613",1130-1310
Oberlin College,34,"Oberlin, OH ","39,794",1280-1450
James Madison University,75,"Harrisonburg, VA ","16,154",1100-1260
Pepperdine University,40,"Malibu, CA ","36,372",1200-1390
Sewanee - The University of the South,47,"Sewanee, TN ","34,001",1140-1320
Saint Louis University,64,"St. Louis, MO ","31,718",1170-1390
University of Portland,70,"Portland, OR ","33,327",1140-1320
University of Oklahoma,74,"Norman, OK ","20,003",1150-1380
University of Denver,58,"Denver, CO ","35,163",1160-1350
University of San Diego,50,"San Diego, CA ","38,592",1180-1350
Oklahoma State University,74,"Stillwater, OK ","14,513",1070-1260
